Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201201BS70001,527200,178760,-0.169101,51.493429,1,3,2,1,19/01/2012,5,20:35,12,E09000020,3,308,Single carriageway,30,,Automatic traffic signal,5,0,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002821,2012
201201BS70002,524930,181430,-0.200838,51.517931,1,3,2,1,04/01/2012,4,17:00,1,E09000033,4,412,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01004760,2012
201201BS70003,525860,178080,-0.188636,51.487618,1,3,2,1,10/01/2012,3,10:07,12,E09000020,3,3220,One way street,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002893,2012
201201BS70004,524980,181030,-0.200259,51.514325,1,3,1,1,18/01/2012,4,12:20,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002886,2012
201201BS70005,526170,179200,-0.183773,51.497614,1,3,1,1,17/01/2012,3,20:24,12,E09000020,4,325,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002890,2012
201201BS70006,526090,177600,-0.185496,51.483253,1,3,2,1,19/01/2012,5,07:30,12,E09000020,3,308,Single carriageway,30,,Automatic traffic signal,3,3220,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002912,2012
201201BS70007,527780,179680,-0.160418,51.501567,1,3,1,1,12/01/2012,5,14:00,1,E09000033,3,3216,Single carriageway,30,,Automatic traffic signal,3,4,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002818,2012
201201BS70008,524010,182080,-0.213862,51.523975,1,3,2,1,07/01/2012,7,11:29,12,E09000020,4,450,Roundabout,30,,Giveway or uncontrolled,5,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002905,2012
201201BS70010,527710,179290,-0.161567,51.498077,1,3,2,1,07/01/2012,7,13:55,12,E09000020,6,0,One way street,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002818,2012
201201BS70011,525120,180060,-0.198587,51.505576,1,3,2,1,04/01/2012,4,19:40,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002825,2012
201201BS70012,525720,179680,-0.190082,51.502028,1,3,1,1,08/01/2012,1,17:15,12,E09000020,3,315,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002889,2012
201201BS70013,524720,179100,-0.204686,51.497037,1,3,2,2,01/01/2012,1,05:05,12,E09000020,3,315,Single carriageway,30,,Automatic traffic signal,3,3220,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,1,Yes,E01002867,2012
201201BS70014,525200,180430,-0.197303,51.508884,1,3,2,1,04/01/2012,4,08:25,12,E09000020,3,402,Dual carriageway,30,,Automatic traffic signal,3,4206,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002884,2012
201201BS70015,524460,181000,-0.20776,51.51417,1,3,1,1,03/01/2012,3,17:36,12,E09000020,4,415,Single carriageway,30,,Automatic traffic signal,4,450,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Other,Wet/Damp,None,None,1,Yes,E01002874,2012
201201BS70016,524350,181210,-0.20927,51.516082,1,3,1,1,11/01/2012,4,18:11,12,E09000020,4,450,Single carriageway,30,,Automatic traffic signal,4,412,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002879,2012
201201BS70017,526460,177460,-0.18022,51.481912,1,3,1,1,12/01/2012,5,09:10,12,E09000020,3,3217,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002840,2012
201201BS70018,524170,180690,-0.212046,51.511448,1,3,2,1,04/01/2012,4,20:40,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002872,2012
201201BS70019,526930,177480,-0.173448,51.481986,1,3,2,2,07/01/2012,7,23:00,12,E09000020,3,3220,Single carriageway,30,,Automatic traffic signal,3,3220,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002840,2012
201201BS70020,525260,179000,-0.196947,51.496019,1,3,1,1,06/01/2012,6,17:20,12,E09000020,4,316,One way street,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002813,2012
201201BS70021,525370,180260,-0.194916,51.507318,1,3,1,1,12/01/2012,5,19:25,12,E09000020,3,4204,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002827,2012
201201BS70022,525160,180720,-0.197777,51.511499,1,3,2,2,12/01/2012,5,16:02,12,E09000020,3,4206,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002884,2012
201201BS70023,525040,178620,-0.200249,51.492652,1,2,1,1,13/01/2012,6,18:20,12,E09000020,3,4,Dual carriageway,30,,Automatic traffic signal,3,3220,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002848,2012
201201BS70024,527800,178520,-0.16055,51.491137,1,3,2,2,09/01/2012,2,08:37,12,E09000020,3,3217,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002902,2012
201201BS70025,526430,178120,-0.180416,51.48785,1,3,2,1,16/01/2012,2,19:03,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,Roadworks,None,1,Yes,E01002895,2012
201201BS70026,527170,177980,-0.169814,51.486426,1,3,2,1,17/01/2012,3,09:01,12,E09000020,4,304,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002844,2012
201201BS70027,525810,179710,-0.188775,51.502278,1,2,2,1,06/01/2012,6,12:20,12,E09000020,3,315,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002889,2012
201201BS70028,526010,179650,-0.185916,51.501694,1,2,1,1,13/01/2012,6,12:30,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,Other object in carriageway,1,No,E01002889,2012
201201BS70029,523820,181160,-0.216922,51.515748,1,3,1,4,14/01/2012,7,01:35,12,E09000020,3,40,Dual carriageway,30,,Giveway or uncontrolled,3,40,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Frost/Ice,None,None,1,Yes,E01002880,2012
201201BS70031,523820,181170,-0.216919,51.515838,1,3,4,2,15/01/2012,1,18:50,12,E09000020,3,40,Dual carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002880,2012
201201BS70032,525930,179700,-0.18705,51.502161,1,3,1,1,24/01/2012,3,09:25,12,E09000020,3,315,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,non-junction pedestrian crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002889,2012
201201BS70033,525680,178240,-0.19117,51.489096,1,3,1,1,19/01/2012,5,08:48,12,E09000020,3,3218,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002894,2012
201201BS70034,526810,178780,-0.174709,51.493697,1,3,1,1,20/01/2012,6,08:30,12,E09000020,3,3218,Single carriageway,30,,Giveway or uncontrolled,3,3218,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002821,2012
201201BS70035,524350,179360,-0.209922,51.499455,1,3,2,1,18/01/2012,4,06:40,12,E09000020,3,3220,Single carriageway,30,,Giveway or uncontrolled,3,3220,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,No,E01002867,2012
201201BS70036,525210,179150,-0.197613,51.497378,1,3,1,1,29/01/2012,1,14:05,12,E09000020,4,316,One way street,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002817,2012
201201BS70037,526920,179000,-0.173046,51.495649,1,3,1,1,21/01/2012,7,05:20,12,E09000020,3,4,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002821,2012
201201BS70039,526740,178480,-0.175824,51.491016,1,3,2,1,29/01/2012,1,16:00,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002822,2012
201201BS70041,526960,178660,-0.172593,51.492584,1,3,1,1,27/01/2012,6,15:05,12,E09000020,4,304,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002822,2012
201201BS70042,527440,179250,-0.165469,51.497779,1,3,1,1,16/01/2012,2,17:30,12,E09000020,4,319,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002819,2012
201201BS70044,524550,181370,-0.206333,51.517475,1,3,2,1,02/02/2012,5,14:39,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002831,2012
201201BS70045,527570,178530,-0.163857,51.491279,1,3,2,1,03/02/2012,6,10:28,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002861,2012
201201BS70046,526480,177170,-0.180036,51.479301,1,3,2,1,31/01/2012,3,19:25,12,E09000020,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,Roadworks,None,1,Yes,E01002841,2012
201201BS70047,524220,181510,-0.211037,51.518806,1,3,1,1,05/02/2012,1,17:57,12,E09000020,4,450,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002878,2012
201201BS70048,527160,178440,-0.169792,51.490562,1,3,2,1,03/02/2012,6,17:45,12,E09000020,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,No,E01002823,2012
201201BS70050,525330,178890,-0.195978,51.495015,1,3,1,1,31/01/2012,3,23:40,12,E09000020,3,3220,One way street,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01002815,2012
201201BS70051,527390,179280,-0.166178,51.49806,1,3,1,1,04/02/2012,7,19:30,12,E09000020,4,319,Single carriageway,30,,Automatic traffic signal,3,4,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Snowing without high winds,Snow,None,None,1,Yes,E01002819,2012
201201BS70052,526180,177330,-0.184297,51.480806,1,3,2,1,01/02/2012,4,09:00,12,E09000020,3,308,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002913,2012
201201BS70053,524320,181280,-0.209678,51.516717,1,3,2,1,04/02/2012,7,10:40,12,E09000020,4,450,Single carriageway,30,,Automatic traffic signal,5,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002879,2012
201201BS70054,526120,179660,-0.184329,51.501759,1,3,2,2,31/01/2012,3,15:45,1,E09000033,3,315,Single carriageway,30,,Automatic traffic signal,4,325,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01002891,2012
201201BS70055,524670,180240,-0.205004,51.507293,1,3,1,1,03/02/2012,6,15:24,12,E09000020,3,402,Single carriageway,30,,,-1,0,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002871,2012
201201BS70056,525590,178180,-0.192487,51.488576,1,3,2,1,30/01/2012,2,15:00,12,E09000020,3,3220,Single carriageway,30,,Automatic traffic signal,3,3218,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01002894,2012
